,review,review header,sentiments,sentiment label
338,prompt and courteous service,Fast/Quick/Speedy/Timely,0.5106,Very Positive
339,Courtious and efficient service,Courtesy,0.4215,Positive
340,Fast and efficient service,Courtesy,0.4215,Positive
341,Great service,Good customer service,0.6249,Very Positive
342,Professional,Professional,0.0,Neutral
343,People were very prompt efficient and polite,Fast/Quick/Speedy/Timely,0.4728,Positive
344,Courtesy provided,Courtesy,0.3612,Positive
345,The staff was very friendly and personable,Friendly,0.5413,Very Positive
346,Distance from home,Close to home,0.0,Neutral
347,Great courteous staff,Courtesy,0.8126,Very Positive
348,Very friendly,Friendly,0.5413,Very Positive
349,Unaware of other services,Other,-0.2023,Negative
350,I have been a customer for 6 years,Good customer service,0.0,Neutral
351,Quick and nice!,Fast/Quick/Speedy/Timely,0.4753,Positive
352,"Quick, professional and reliable service",Fast/Quick/Speedy/Timely,0.0,Neutral
353,"Convenience, great staff",Convenient,0.6249,Very Positive
354,Jiffylube keeps a record of the sevices my vehicle has had and the services it needs to have,Good customer service,0.0,Neutral
355,Everyone was very polite and helpful,Courtesy,0.4703,Positive
356,"The staff was awesome, from the persons that greeted me when i pulled up outside to the machanic who gave me my car summary to the service associate who took my payment at the front desk",Courtesy,0.7351,Very Positive
357,Everyone at this location were especially friendly,Friendly,0.5413,Very Positive
358,I like how its affordable and the agent didn't try to sell me unnecessary services,Professional,0.3612,Positive
359,Don't believe in going to different places to have my car maintenanced,Good customer service,0.0,Neutral
360,Speedy and excellent customer service,Fast/Quick/Speedy/Timely,0.5719,Very Positive
361,Quick service; informative; friendly staff,Fast/Quick/Speedy/Timely,0.4939,Positive
362,Brakes,Other,0.0,Neutral
363,"Jiffy Lube service team/staff are always attentive, informative and thorough in the service delivery",Good customer service,0.0,Neutral
364,"Handled promptly with great care,customer services was excellent",Good customer service,0.8316,Very Positive
365,It depends on if Jiffy Lube covers the service that my vehicle needs,Convenient,0.0,Neutral
366,Great customer service,Good customer service,0.6249,Very Positive
367,location,Convenient,0.0,Neutral
368,"I am always notified about my needed services, I don't have to worry about things in my car going wrong and not given information about what I should do to rectify the problem",Professional,-0.5258,Very Negative
369,Courtesy of the staff!!!,Courtesy,0.5229,Very Positive
370,"The service was great very friendly crew, quickly completed the service and seemed to have valued my time",Friendly,0.8883,Very Positive
371,Yes,Other,0.4019,Positive
372,Professionalism and personable interaction,Professional,0.0,Neutral
373,"They always take care of my car and help me keep take care of my car,every one is always polite,i will continue to come to jiffy lube where I feel comfortable,thank you jiffy lube",Good customer service,0.8442,Very Positive
374,Technicians were very professional and expeditious with the service,Professional,0.0,Neutral
375,You guys can service my vehicles cheaper than I can,Fair price,0.0,Neutral
376,Professionalism,Professional,0.0,Neutral
377,fast service,Fast/Quick/Speedy/Timely,0.0,Neutral
378,"Quick, simple and easy",Fast/Quick/Speedy/Timely,0.4404,Positive
379,The customer service was excellent!,Good customer service,0.6114,Very Positive
380,Friendly staff and the Manager there is always on point with His experience mindset on my Car,Friendly,0.4939,Positive
381,The Service was good,Good customer service,0.4404,Positive
382,The professional service and time it was done in,Professional,0.0,Neutral
383,I  have been coming to jiffy lube for many years and have consistently received top notch service,Good customer service,0.2023,Positive
384,"Great customer service, speedy maintenance, & explanation of services",Good customer service,0.6249,Very Positive
385,Was told will top off fluids and vacuum and check tire pressure,Knowledgeable employees,-0.1027,Negative
386,"Quick, easy, and everything was relatively cheap",Fast/Quick/Speedy/Timely,0.4404,Positive
387,Price around,Fair price,0.0,Neutral
388,I love that they can give me a print out of everything I have had done at Jiffy Lube,Good customer service,0.6369,Very Positive
389,great service hardly no wait time,Good customer service,0.4927,Positive
390,Dependable & fast,Fast/Quick/Speedy/Timely,0.0,Neutral
391,Excellent service and fast,Good customer service,0.5719,Very Positive
392,I have been coming to Jiffy Lube for about a year now,Other,0.0,Neutral
393,I received outstanding service in every way,Good customer service,0.6124,Very Positive
394,Air filter windshield repair,Have equipment needed,0.0,Neutral
395,Your team is so friendly and wonderful!,Friendly,0.8545,Very Positive
396,"People was very nice, service was quick",Fast/Quick/Speedy/Timely,0.4754,Positive
397,Great customer service and everything was done as requested and expected,Good customer service,0.6249,Very Positive
398,I appreciate their friendliness and honesty,Friendly,0.836,Very Positive
399,the staff was nice,Friendly,0.4215,Positive
400,Friendly and prompt service,Friendly,0.4939,Positive
401,Fast friendly service,Friendly,0.4939,Positive
402,The attitudes of all the employees I encountered was great,Courtesy,0.6249,Very Positive
403,Convenance and quality of service,Convenient,0.0,Neutral
404,price,Fair price,0.0,Neutral
405,they were friendly & efficient,Friendly,0.7184,Very Positive
406,Good service,Good customer service,0.4404,Positive
407,Convenience,Convenient,0.0,Neutral
408,Fast service and the associates were nice,Fast/Quick/Speedy/Timely,0.4215,Positive
